Date;Type;ID;"Reconciliation Identifier";Payment;Order;Terminal;Shop;"Transaction Currency";"Transaction Amount";"Exchange Rate";"Settlement Currency";"Settlement Amount";"Fixed Fee";"Fixed Fee VAT";"Rate Based Fee";"Rate Based Fee VAT"
2023-04-04;payment;ac26916a-273d-4105-b456-37e72c62f1eb;05d91bad-5f02-4240-998b-62e50b43943d;234371;194334-812731617-63be8e7826f26;"AltaPay CC DKK";AltaNomics;DKK;105.30;100.00000;DKK;105.30;0.00;0.00;-0.83;0.00
2023-04-04;payment;93e3aec9-1e62-41ac-9020-c8910b0b4b94;df232df6-1194-4252-a355-b5fef2e7706d;234291;194334-812731610-63b411494448e;"AltaPay CC DKK";AltaNomics;DKK;69.14;100.00000;DKK;69.14;0.00;0.00;-0.54;0.00
2023-04-04;payment;73516635-72cd-46e8-a9e9-2e9ee615af1f;9d5f34a5-d0ef-4c68-91e7-456093d409d8;234021;194334-812731613-634673d1b1183;"AltaPay CC DKK";AltaNomics;DKK;107.46;100.00000;DKK;107.46;0.00;0.00;-0.84;0.00
2023-04-04;payment;e4a410f1-461a-4fd5-8bdd-e75a2ef9fa15;48ca1f6b-ad5c-4aca-a20f-6c9b539961a5;234181;194334-812731697-6399ddca28ff5;"AltaPay CC DKK";AltaNomics;DKK;80.05;100.00000;DKK;80.05;0.00;0.00;-0.63;0.00
2023-04-04;payment;9c04fb30-b165-497d-ae68-f7d692d71cd4;94dde6b8-929e-4b39-9c3e-cd03f0eb7d51;234131;194334-812731592-6389d52f74f93;"AltaPay CC DKK";AltaNomics;DKK;76.48;100.00000;DKK;76.48;0.00;0.00;-0.60;0.00
2023-04-04;payment;3f1268a7-6267-4cb8-a48c-5c3631ad8fd6;20328e2c-2945-4646-8a0f-471f810d5124;234361;194334-812731598-63b57239ec346;"AltaPay CC DKK";AltaNomics;DKK;206.98;100.00000;DKK;206.98;0.00;0.00;-1.62;0.00
2023-04-04;payment;01f962a8-ac3f-4e40-b7dc-7756bc050fb6;9ec6a94f-91cb-4561-9947-bb43c9137837;233991;194334-812731616-633c353704afe;"AltaPay CC DKK";AltaNomics;DKK;124.99;100.00000;DKK;124.99;0.00;0.00;-0.98;0.00
2023-04-04;payment;68756bc7-94b7-4ef4-8954-5c7d8241a424;218dfe3e-c250-47d6-a985-8d80d1c46295;234381;194334-812731662-63d7f7ec8a78e;"AltaPay CC DKK";AltaNomics;DKK;145.44;100.00000;DKK;145.44;0.00;0.00;-1.14;0.00
2023-04-04;payment;21674f44-9ff0-4847-9b6e-69735de07630;aa1fcc0c-a583-49b1-a017-1334564a571b;234161;194334-812731843-638dd85e7c862;"AltaPay CC DKK";AltaNomics;DKK;97.06;100.00000;DKK;97.06;0.00;0.00;-0.76;0.00
2023-04-04;payment;47ee6354-e35c-4ca1-b430-d0634737fdda;d32c6ef0-4057-462a-99d0-732947c73d43;234121;194334-812731620-6389cd42953ea;"AltaPay CC DKK";AltaNomics;DKK;113.35;100.00000;DKK;113.35;0.00;0.00;-0.89;0.00
2023-04-04;payment;f54c8436-ee8b-44f1-8c91-05df87439c8a;28cb2244-fed8-429e-a64c-65d90fddb021;234221;194334-812731644-63a430f91392d;"AltaPay CC DKK";AltaNomics;DKK;71.64;100.00000;DKK;71.64;0.00;0.00;-0.56;0.00
2023-04-04;payment;3a420947-97e1-4161-87d1-9f1c04c2acda;adf6b020-2a71-4559-aa85-596ec120f159;234191;194334-812731600-639ba2e8033b7;"AltaPay CC DKK";AltaNomics;DKK;92.60;100.00000;DKK;92.60;0.00;0.00;-0.73;0.00
